Company Name,Ticker
Pivotal Investment Corporation II,PIC.WS
PropTech Acquisition Corporation,PTACU
PropTech Acquisition Corporation,PTAC
PropTech Acquisition Corporation,PTACW
Replay Acquisition Corp.,RPLA.U
Replay Acquisition Corp.,RPLA
Replay Acquisition Corp.,RPLA.WS
RMG Acquisition Corp.,RMG.U
RMG Acquisition Corp.,RMG
RMG Acquisition Corp.,RMG.WS
SC Health Corporation,SCPE.U
SC Health Corporation,SCPE
SC Health Corporation,SCPE.WS
Roth CH Acquisition I Co.,ROCHU
Roth CH Acquisition I Co.,ROCH
Roth CH Acquisition I Co.,ROCHW
Schultze Special Purpose Acquisition Corp.,SAMAU
Schultze Special Purpose Acquisition Corp.,SAMA
Schultze Special Purpose Acquisition Corp.,SAMAW
SCVX Corp.,SCVX.U
SCVX Corp.,SCVX
SCVX Corp.,SCVX.WS
Social Capital Hedosophia Holdings Corp. II,IPOB.U
Social Capital Hedosophia Holdings Corp. II,IPOB
Social Capital Hedosophia Holdings Corp. II,IPOB.WS
Social Capital Hedosophia Holdings Corp. III,IPOC.U
Social Capital Hedosophia Holdings Corp. III,IPOC
Social Capital Hedosophia Holdings Corp. III,IPOC.WS
Silver Spike Acquisition Corp.,SSPKU
Silver Spike Acquisition Corp.,SSPK
Silver Spike Acquisition Corp.,SSPKW
South Mountain Merger Corp.,SMMCU
South Mountain Merger Corp.,SMMC
South Mountain Merger Corp.,SMMCW
Software Acquisition Group Inc.,SAQNU
Software Acquisition Group Inc.,SAQN
Software Acquisition Group Inc.,SAQNW
Spartan Energy Acquisition Corp.,SPAQ.U
Spartan Energy Acquisition Corp.,SPAQ
Spartan Energy Acquisition Corp.,SPAQ.WS
Stable Road Acquisition Corp.,SRACU
Stable Road Acquisition Corp.,SRAC
Stable Road Acquisition Corp.,SRACW
Sustainable Opportunities Acquisition Corp.,SOAC.U
Sustainable Opportunities Acquisition Corp.,SOAC
Sustainable Opportunities Acquisition Corp.,SOAC.WS
Switchback Energy Acquisition Corp.,SBE.U
Switchback Energy Acquisition Corp.,SBE
Switchback Energy Acquisition Corp.,SBE.WS
Tenzing Acquisition Corp.,TZACU
Tenzing Acquisition Corp.,TZAC
Tenzing Acquisition Corp.,TZACW
"Thunder Bridge Acquisition II, Ltd.",THBRU
"Thunder Bridge Acquisition II, Ltd.",THBR
"Thunder Bridge Acquisition II, Ltd.",THBRW
Tottenham Acquisition I Limited,TOTAU
